customer_id,product_line,unit_price,quantity,tax_%,total,date,day_of_week,time,payment,cogs,gross_margin_percent,gross_income,rating
106-35-6779,Electronic accessories,20.770000457763672,4,4.1539998054504395,87.234,2019-01-31,Thursday,13:45,Cash,83.08000183105469,4.761904762,4.154,4.7
106-35-6779,Electronic accessories,30.239999771118164,1,1.5119999647140503,31.752,2019-03-04,Monday,15:30,Cash,30.239999771118164,4.761904762,1.512,8.4
106-35-6779,Electronic accessories,15.6899995803833,3,2.3534998893737793,49.4235,2019-03-14,Thursday,14:0,Credit card,47.06999969482422,4.761904762,2.3535,5.8
106-35-6779,Fashion accessories,42.56999969482422,7,14.899499893188477,312.8895,2019-01-06,Sunday,11:45,Cash,297.989990234375,4.761904762,14.8995,6.8
106-35-6779,Fashion accessories,32.619998931884766,4,6.52400016784668,137.004,2019-01-29,Tuesday,14:0,Cash,130.47999572753906,4.761904762,6.524,9.0
106-35-6779,Fashion accessories,97.29000091552734,8,38.91600036621094,817.236,2019-03-09,Saturday,13:15,Credit card,778.3200073242188,4.761904762,38.916,6.2
106-35-6779,Food and beverages,16.5,5,16.5,99.0,2019-02-20,Wednesday,15:45,Credit card,82.5,4.761904762,23.0725,9.0
106-35-6779,Health and beauty,16.5,5,16.5,99.0,2019-01-23,Wednesday,14:15,Ewallet,82.5,4.761904762,23.9875,8.8
106-35-6779,Home and lifestyle,37.47999954223633,3,5.622000217437744,118.062,2019-01-20,Sunday,13:45,Credit card,112.44000244140625,4.761904762,5.622,7.7
106-35-6779,Home and lifestyle,44.34000015258789,2,4.434000015258789,93.114,2019-03-27,Wednesday,11:15,Cash,88.68000030517578,4.761904762,4.434,5.8
109-28-2512,Fashion accessories,76.05999755859375,3,11.409000396728516,239.589,2019-01-05,Saturday,20:30,Credit card,228.17999267578125,4.761904762,11.409,9.8
109-28-2512,Fashion accessories,81.68000030517578,4,16.336000442504883,343.056,2019-01-06,Sunday,12:0,Cash,326.7200012207031,4.761904762,16.336,9.1
109-28-2512,Fashion accessories,97.61000061035156,6,29.283000946044922,614.943,2019-01-07,Monday,15:0,Ewallet,585.6599731445312,4.761904762,29.283,9.9
109-28-2512,Food and beverages,27.5,3,16.5,99.0,2019-02-20,Wednesday,13:0,Ewallet,82.5,4.761904762,8.661,7.7
109-28-2512,Health and beauty,33.810001373291016,3,5.071499824523926,106.5015,2019-01-26,Saturday,15:0,Ewallet,101.43000030517578,4.761904762,5.0715,7.3
109-28-2512,Home and lifestyle,8.25,10,16.5,99.0,2019-01-16,Wednesday,13:30,Cash,82.5,4.761904762,47.79,4.8
109-28-2512,Home and lifestyle,33.29999923706055,9,14.984999656677246,314.685,2019-03-04,Monday,15:15,Ewallet,299.70001220703125,4.761904762,14.985,7.2
109-28-2512,Home and lifestyle,35.470001220703125,4,7.093999862670898,148.974,2019-03-14,Thursday,17:15,Credit card,141.8800048828125,4.761904762,7.094,6.9
109-28-2512,Sports and travel,49.33000183105469,10,24.665000915527344,517.965,2019-02-03,Sunday,16:30,Credit card,493.29998779296875,4.761904762,24.665,9.4
